Bubbaville Brewzers;PLAYERS - 18;Pos;D;B;Sp;Other Positions
Bubbaville Brewzers;AZCUE, Joe;C;8;R;4; 
Bubbaville Brewzers;SIMS, Duke;C;7;L;5; 
Bubbaville Brewzers;DUNCAN, Dave;C;6;R;7; 
Bubbaville Brewzers;CLENDENON, Donn;1B;3;R;16; 
Bubbaville Brewzers;RUDI, Joe;1B+;2;R;15;OF1
Bubbaville Brewzers;McAULIFFE, Dick;2B+;8;L;14;SS7
Bubbaville Brewzers;ROJAS, Cookie;2B+;8;R;13;P1, C5, 3B3, SS7, OF2
Bubbaville Brewzers;COGGINS, Frank;2B;6;B;12; 
Bubbaville Brewzers;GOTAY, Julio;2B+;6;R;17;3B3, SS7
Bubbaville Brewzers;BAILEY, Bob;3B+;3;R;12;1B2, SS6, OF1
Bubbaville Brewzers;AMARO, Ruben;SS+;9;R;15;1B4, 3B3
Bubbaville Brewzers;MONDAY, Rick;OF;2;L;17; 
Bubbaville Brewzers;VALENTINE, Fred;OF;2;B;17; 
Bubbaville Brewzers;BLEFARY, Curt;OF+;1;L;5;1B2
Bubbaville Brewzers;BROWN, Ollie;OF;1;R;11; 
Bubbaville Brewzers;CARTY, Rico;OF+;1;R;5;1B2
Bubbaville Brewzers;HOWARD, Frank;OF+;1;R;4;1B2
Bubbaville Brewzers;MAY, Dave;OF;1;L;14; 
Charm City Rookies;PLAYERS - 18;Pos;D;B;Sp;Other Positions
Charm City Rookies;McCARVER, Tim;C;8;L;15; 
Charm City Rookies;CASH, Norm;1B;4;L;6; 
Charm City Rookies;HORTON, Tony;1B;2;R;8; 
Charm City Rookies;JOHNSON, Davey;2B+;8;R;14;3B3
Charm City Rookies;OLIVER, Nate;2B+;6;R;17;3B3, SS7, OF1
Charm City Rookies;SANTO, Ron;3B;5;R;5; 
Charm City Rookies;PAGAN, Jose;3B+;4;R;15;C5, 2B6, SS7, OF1
Charm City Rookies;WILLS, Maury;3B+;4;B;18;SS7
Charm City Rookies;MENKE, Denis;SS+;8;R;12;3B4
Charm City Rookies;FAIRLY, Ron;OF+;2;L;5;1B3
Charm City Rookies;HALL, Jimmie;OF;2;L;17; 
Charm City Rookies;PHILLIPS, Adolfo;OF;2;R;18; 
Charm City Rookies;TRESH, Tom;OF;2;B;13; 
Charm City Rookies;WHITAKER, Steve;OF;2;L;11; 
Charm City Rookies;JOHNSTONE, Jay;OF;1;L;16; 
Charm City Rookies;MAYE, Lee;OF+;1;L;16;2B5
Charm City Rookies;STAHL, Larry;OF;1;L;16; 
Charm City Rookies;SWOBODA, Ron;OF+;1;R;10;1B2
Crown Hill Crabbers;PLAYERS - 20;Pos;D;B;Sp;Other Positions
Crown Hill Crabbers;BATEMAN, John;C;7;R;4; 
Crown Hill Crabbers;BRAND, Ron;C+;7;R;16;2B5, OF1
Crown Hill Crabbers;OLIVER, Gene;C+;7;R;4;1B2
Crown Hill Crabbers;CEPEDA, Orlando;1B;4;R;10; 
Crown Hill Crabbers;RADER, Doug;1B+;3;R;14;3B4
Crown Hill Crabbers;ROBERTSON, Bob;1B;2;R;7; 
Crown Hill Crabbers;WOODWARD, Woody;2B+;8;R;13;SS8
Crown Hill Crabbers;MILLAN, Felix;2B;7;R;15; 
Crown Hill Crabbers;SAVERINE, Bob;2B+;6;B;18;3B3, SS6, OF1
Crown Hill Crabbers;DAVENPORT, Jim;3B+;5;R;8;2B7, SS8
Crown Hill Crabbers;ROLLINS, Rich;3B;4;R;10; 
Crown Hill Crabbers;BROWN, Larry;SS;8;R;16; 
Crown Hill Crabbers;KENNEY, Jerry;SS;7;L;17; 
Crown Hill Crabbers;GOSGER, Jim;OF;2;L;16; 
Crown Hill Crabbers;GREEN, Lenny;OF;2;L;15; 
Crown Hill Crabbers;HICKMAN, Jim;OF+;2;R;12;P1, 1B2, 3B3
Crown Hill Crabbers;OLIVA, Tony;OF;2;L;17; 
Crown Hill Crabbers;SNYDER, Russ;OF;2;L;15; 
Crown Hill Crabbers;GASTON, Cito;OF;1;R;15; 
Crown Hill Crabbers;PETERSON, Cap;OF;1;R;8; 
Detroit Dirtbags;PLAYERS - 20;Pos;D;B;Sp;Other Positions
Detroit Dirtbags;HUNDLEY, Randy;C;8;R;15; 
Detroit Dirtbags;ETCHEBARREN, Andy;C;7;R;9; 
Detroit Dirtbags;FOSSE, Ray;C;6;R;8; 
Detroit Dirtbags;FRANCONA, Tito;1B+;3;L;5;OF2
