Bubbaville Brewzers;PLAYERS - 16;Pos;D;B;Sp;Other Positions
Bubbaville Brewzers;AZCUE, Joe;C;7;R;5; 
Bubbaville Brewzers;CANNIZZARO, Chris;C;7;R;6; 
Bubbaville Brewzers;OLIVER, Gene;C+;7;R;6;1B2, OF1
Bubbaville Brewzers;SIMS, Duke;C;6;L;5; 
Bubbaville Brewzers;CLENDENON, Donn;1B+;3;R;17;3B3
Bubbaville Brewzers;GENTILE, Jim;1B;3;L;4; 
Bubbaville Brewzers;BOLLING, Frank;2B;8;R;8; 
Bubbaville Brewzers;ROJAS, Cookie;2B+;7;R;14;C5, 1B2, SS7, OF2
Bubbaville Brewzers;GILLIAM, Jim;3B+;4;B;14;2B7, OF1
Bubbaville Brewzers;BAILEY, Bob;3B+;3;R;12;OF1
Bubbaville Brewzers;CAUSEY, Wayne;SS+;8;L;9;2B7, 3B4
Bubbaville Brewzers;McAULIFFE, Dick;SS;8;L;14; 
Bubbaville Brewzers;BLEFARY, Curt;OF;1;L;7; 
Bubbaville Brewzers;BROWN, Ollie;OF;1;R;11; 
Bubbaville Brewzers;CARTY, Rico;OF;1;R;7; 
Bubbaville Brewzers;HOWARD, Frank;OF;1;R;5; 
Charm City Rookies;PLAYERS - 19;Pos;D;B;Sp;Other Positions
Charm City Rookies;McCARVER, Tim;C;8;L;15; 
Charm City Rookies;TRIANDOS, Gus;C;8;R;2; 
Charm City Rookies;CARREON, Cam;C;7;R;7; 
Charm City Rookies;CASH, Norm;1B;4;L;6; 
Charm City Rookies;HORTON, Tony;1B;2;R;8; 
Charm City Rookies;HILLER, Chuck;2B+;7;L;8;3B3, OF1
Charm City Rookies;GAGLIANO, Phil;2B+;6;R;9;3B3, OF1
Charm City Rookies;SANTO, Ron;3B;5;R;5; 
Charm City Rookies;JOHNSON, Davey;3B+;3;R;14;2B6, SS6
Charm City Rookies;WILLS, Maury;SS;9;B;18; 
Charm City Rookies;MENKE, Denis;SS+;8;R;12;1B2, 3B3
Charm City Rookies;PAGAN, Jose;SS+;7;R;15;3B3
Charm City Rookies;FAIRLY, Ron;OF+;2;L;6;1B3
Charm City Rookies;HALL, Jimmie;OF;2;L;17; 
Charm City Rookies;KING, Jim;OF;2;L;6; 
Charm City Rookies;PHILLIPS, Adolfo;OF;2;R;18; 
Charm City Rookies;GOSGER, Jim;OF;1;L;10; 
Charm City Rookies;MAYE, Lee;OF;1;L;16; 
Charm City Rookies;SWOBODA, Ron;OF;1;R;10; 
Crown Hill Crabbers;PLAYERS - 16;Pos;D;B;Sp;Other Positions
Crown Hill Crabbers;HALLER, Tom;C;8;L;7; 
Crown Hill Crabbers;BATEMAN, John;C;6;R;4; 
Crown Hill Crabbers;SULLIVAN, John;C;6;L;4; 
Crown Hill Crabbers;SIEBERN, Norm;1B;4;L;7; 
Crown Hill Crabbers;CEPEDA, Orlando;1B+;3;R;12;OF1
Crown Hill Crabbers;BOND, Walt;1B+;2;L;7;OF1
Crown Hill Crabbers;MANTILLA, Felix;2B+;7;R;14;1B2, OF1
Crown Hill Crabbers;WOOD, Jake;2B+;6;R;18;1B2, 3B3, SS6
Crown Hill Crabbers;DAVENPORT, Jim;3B+;5;R;8;2B6, SS8
Crown Hill Crabbers;HANSEN, Ron;SS+;8;R;6;2B6
Crown Hill Crabbers;LANDIS, Jim;OF;3;R;17; 
Crown Hill Crabbers;GREEN, Lenny;OF;2;L;17; 
