Bubbaville Brewzers;PLAYERS - 14;Pos;D;B;Sp;Other Positions
Bubbaville Brewzers;AZCUE, Jose;C;7;R;5; 
Bubbaville Brewzers;OLIVER, Gene;C+;7;R;5;1B2, OF1
Bubbaville Brewzers;SIMS, Duke;C;6;L;5; 
Bubbaville Brewzers;CLENDENON, Donn;1B;3;R;16; 
Bubbaville Brewzers;GENTILE, Jim;1B;3;L;4; 
Bubbaville Brewzers;BOLLING, Frank;2B;8;R;8; 
Bubbaville Brewzers;ROJAS, Cookie;2B+;8;R;14;SS7, OF2
Bubbaville Brewzers;BAILEY, Bob;3B+;3;R;12;OF1
Bubbaville Brewzers;McAULIFFE, Dick;SS+;7;L;14;3B3
Bubbaville Brewzers;VALENTINE, Fred;OF+;2;B;17;1B2
Bubbaville Brewzers;BLEFARY, Curt;OF+;1;L;5;1B2
Bubbaville Brewzers;BROWN, Ollie;OF;1;R;11; 
Bubbaville Brewzers;CARTY, Rico;OF+;1;R;5;C5, 1B2, 3B3
Bubbaville Brewzers;HOWARD, Frank;OF;1;R;4; 
Charm City Rookies;PLAYERS - 18;Pos;D;B;Sp;Other Positions
Charm City Rookies;McCARVER, Tim;C;7;L;15; 
Charm City Rookies;CARREON, Cam;C;6;R;7; 
Charm City Rookies;CASH, Norm;1B;4;L;6; 
Charm City Rookies;HORTON, Tony;1B;2;R;8; 
Charm City Rookies;HILLER, Chuck;2B+;8;L;6;3B4, OF1
Charm City Rookies;JOHNSON, Davey;2B+;8;R;14;SS6
Charm City Rookies;SANTO, Ron;3B+;5;R;5;SS7
Charm City Rookies;GAGLIANO, Phil;3B+;4;R;8;1B3, 2B6, OF1
Charm City Rookies;PAGAN, Jose;3B+;4;R;15;2B6, SS7, OF1
Charm City Rookies;WILLS, Maury;SS+;9;B;18;3B4
Charm City Rookies;MENKE, Denis;SS+;8;R;12;1B3, 3B4
Charm City Rookies;FAIRLY, Ron;OF+;2;L;5;1B3
Charm City Rookies;GOSGER, Jim;OF;2;L;14; 
Charm City Rookies;HALL, Jimmie;OF;2;L;17; 
Charm City Rookies;PHILLIPS, Adolfo;OF;2;R;18; 
Charm City Rookies;TRESH, Tom;OF+;2;B;15;3B4
Charm City Rookies;MAYE, Lee;OF;1;L;16; 
Charm City Rookies;SWOBODA, Ron;OF;1;R;10; 
Crown Hill Crabbers;PLAYERS - 14;Pos;D;B;Sp;Other Positions
Crown Hill Crabbers;HALLER, Tom;C+;8;L;7;1B2
Crown Hill Crabbers;BATEMAN, John;C;7;R;4; 
Crown Hill Crabbers;CEPEDA, Orlando;1B+;4;R;11;OF1
Crown Hill Crabbers;SIEBERN, Norm;1B;4;L;6; 
Crown Hill Crabbers;MANTILLA, Felix;1B+;2;R;14;2B6, 3B3, OF1
Crown Hill Crabbers;WOOD, Jake;2B+;6;R;18;1B2, 3B3
Crown Hill Crabbers;DAVENPORT, Jim;SS+;8;R;8;1B2, 2B7, 3B4
Crown Hill Crabbers;HANSEN, Ron;SS;8;R;5; 
Crown Hill Crabbers;LANDIS, Jim;OF;3;R;17; 
Crown Hill Crabbers;GREEN, Lenny;OF;2;L;16; 
Crown Hill Crabbers;HICKMAN, Jim;OF+;2;R;12;1B2
Crown Hill Crabbers;OLIVA, Tony;OF;2;L;17; 
Crown Hill Crabbers;SNYDER, Russ;OF;2;L;15; 
Crown Hill Crabbers;VALDESPINO, Sandy;OF;1;L;16; 
Detroit Dirtbags;PLAYERS - 18;Pos;D;B;Sp;Other Positions
Detroit Dirtbags;CORRALES, Pat;C;7;R;5; 
Detroit Dirtbags;ETCHEBARREN, Andy;C;7;R;9; 
Detroit Dirtbags;HUNDLEY, Randy;C;7;R;15; 
Detroit Dirtbags;NIXON, Russ;C;7;L;4; 
Detroit Dirtbags;POWELL, Boog;1B;3;L;4; 
Detroit Dirtbags;FRANCONA, Tito;1B+;2;L;6;OF2
Detroit Dirtbags;CAUSEY, Wayne;2B+;7;L;9;3B3, SS7
Detroit Dirtbags;de la HOZ, Mike;3B+;4;R;6;2B6, SS6
Detroit Dirtbags;GILLIAM, Jim;3B+;4;B;13;1B3, 2B7
Detroit Dirtbags;SCHAAL, Paul;3B+;4;R;11;SS6
Detroit Dirtbags;HARRELSON, Bud;SS;8;B;17; 
Detroit Dirtbags;KASKO, Eddie;SS+;8;R;12;2B6, 3B4
Detroit Dirtbags;HARPER, Tommy;OF;2;R;19; 
Detroit Dirtbags;KING, Jim;OF;2;L;6; 
Detroit Dirtbags;MORTON, Bubba;OF;2;R;9; 
Detroit Dirtbags;PEARSON, Albie;OF;2;L;17; 
Detroit Dirtbags;CRAWFORD, Willie;OF;1;L;17; 
Detroit Dirtbags;JONES, Cleon;OF;1;R;16; 
Germantown Toros;PLAYERS - 17;Pos;D;B;Sp;Other Positions
Germantown Toros;BRAND, Ron;C+;6;R;16;2B6, 3B3, OF1
Germantown Toros;GIBBS, Jake;C;6;L;13; 
Germantown Toros;GONDER, Jesse;C;6;L;4; 
Germantown Toros;MAY, Jerry;C;6;R;7; 
Germantown Toros;BANKS, Ernie;1B+;4;R;9;3B3
Germantown Toros;SMITH, Charley;3B+;4;R;10;SS7
Germantown Toros;KILLEBREW, Harmon;3B+;3;R;4;1B2, OF1
Germantown Toros;AMARO, Ruben;SS;9;R;12; 
Germantown Toros;ADAIR, Jerry;SS+;8;R;15;2B8
Germantown Toros;KESSINGER, Don;SS;8;B;18; 
Germantown Toros;BRESSOUD, Ed;SS+;7;R;7;1B2, 2B6, 3B3
Germantown Toros;GONZALEZ, Tony;OF;2;L;17; 
Germantown Toros;LANDRUM, Don;OF;2;L;16; 
Germantown Toros;UHLAENDER, Ted;OF;2;L;16; 
Germantown Toros;BROWN, Gates;OF;1;L;15; 
Germantown Toros;CHRISTOPHER, Joe;OF;1;R;16; 
Germantown Toros;SHAMSKY, Art;OF;1;L;7; 
Melbourne Thunder;PLAYERS - 16;Pos;D;B;Sp;Other Positions
Melbourne Thunder;CRANDALL, Del;C;9;R;3; 
Melbourne Thunder;RODGERS, Buck;C;8;B;15; 
Melbourne Thunder;CASANOVA, Paul;C;7;R;15; 
Melbourne Thunder;ROZNOVSKY, Vic;C;6;L;5; 
Melbourne Thunder;WHITFIELD, Fred;1B;2;L;5; 
Melbourne Thunder;JAVIER, Julian;2B;8;R;18; 
Melbourne Thunder;GONZALEZ, Pedro;2B+;7;R;17;3B3, OF1
Melbourne Thunder;LEFEBVRE, Jim;2B+;7;B;6;3B3
Melbourne Thunder;WERT, Don;3B;5;R;10; 
Melbourne Thunder;MALZONE, Frank;3B;3;R;5; 
Melbourne Thunder;WINE, Bobby;SS+;9;R;9;OF1
Melbourne Thunder;HERSHBERGER, Mike;OF;3;R;17; 
Melbourne Thunder;MAYS, Willie;OF;3;R;18; 
Melbourne Thunder;BRANDT, Jackie;OF;2;R;15; 
Melbourne Thunder;WAGNER, Leon;OF;2;L;6; 
Melbourne Thunder;HORTON, Willie;OF;1;R;6; 
Mill Creek Crankers;PLAYERS - 18;Pos;D;B;Sp;Other Positions
Mill Creek Crankers;DALRYMPLE, Clay;C;8;L;3; 
Mill Creek Crankers;ROSEBORO, Johnny;C;8;L;13; 
Mill Creek Crankers;PARKER, Wes;1B+;5;B;17;OF2
Mill Creek Crankers;McCRAW, Tommy;1B+;4;L;18;OF1
Mill Creek Crankers;HIATT, Jack;1B;2;R;5; 
Mill Creek Crankers;ALOMAR, Sandy;2B+;7;R;16;SS8
Mill Creek Crankers;HAMLIN, Ken;2B+;6;R;16;3B3
Mill Creek Crankers;ROBINSON, Brooks;3B;6;R;7; 
Mill Creek Crankers;BUFORD, Don;3B+;3;B;18;2B6, OF1
Mill Creek Crankers;BROWN, Larry;SS+;8;R;16;2B6
Mill Creek Crankers;CAMPANERIS, Bert;SS;8;R;19; 
Mill Creek Crankers;RODGERS, Andre;SS+;7;R;11;1B2, 3B3, OF1
Mill Creek Crankers;STANLEY, Mickey;OF;3;R;16; 
Mill Creek Crankers;DAVIS, Willie;OF;2;L;19; 
